,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,São João da Barra,-21.64,-41.05,72.28,92,100,7.63,BR,1605415399
160,Saint-Philippe,45.36,-73.48,33.8,86,0,2.24,CA,1605415400
161,Haines Junction,60.75,-137.51,6.8,84,100,1.45,CA,1605415400
162,Kathmandu,27.71,85.32,64.4,63,20,2.24,NP,1605415400
163,Norman Wells,65.28,-126.83,-13.0,75,75,2.24,CA,1605415400
164,Brainerd,46.36,-94.2,35.01,97,90,4.7,US,1605415400
165,Xiaxihao,40.29,97.04,46.36,53,6,21.3,CN,1605415401
166,Straumen,63.87,11.3,46.99,65,0,21.92,NO,1605415401
167,Camacha,33.08,-16.33,69.8,94,75,9.17,PT,1605415401
168,Tekanto,21.05,-89.07,78.01,94,5,4.7,MX,1605415401
169,Vitim,59.44,112.57,13.35,94,99,6.69,RU,1605415401
170,Antsohihy,-14.88,47.99,85.89,54,23,5.32,MG,1605415402
171,Kavieng,-2.57,150.8,85.8,69,59,11.3,PG,1605415402
172,La Esperanza,14.31,-88.18,56.68,100,39,3.38,HN,1605415402
173,Clyde River,70.47,-68.59,15.8,72,20,32.21,CA,1605415402
174,Nador,35.17,-2.93,59.0,82,0,2.24,MA,1605415402
175,Keflavik,64.0,-22.56,35.6,93,75,9.17,IS,1605415403
176,Abhā,18.39,42.45,55.4,81,20,2.39,SA,1605415403
177,Chokurdakh,70.62,147.9,-25.55,87,30,4.79,RU,1605415403
178,Le Marin,14.47,-60.87,77.0,94,75,5.82,MQ,1605415403
179,Tasiilaq,65.61,-37.64,21.42,97,100,7.4,GL,1605415403
180,Udachny,66.42,112.4,-0.4,84,75,4.47,RU,1605415403
181,Crown Hill,6.33,-10.8,75.9,91,6,3.98,LR,1605415404
182,Burnie,-41.05,145.91,64.99,56,45,8.01,AU,1605415404
183,Balclutha,-46.28,169.85,66.0,57,100,5.91,NZ,1605415404
184,Yatsuomachi-higashikumisaka,36.58,137.08,72.0,37,40,11.41,JP,1605415404
185,MacKay,53.65,-115.58,21.2,92,20,2.24,CA,1605415404
186,Lagoa,37.14,-8.45,66.99,100,40,6.93,PT,1605415405
187,Blackwater,-23.58,149.07,99.05,21,8,3.29,AU,1605415405
188,Saint-Georges,46.12,-70.67,30.2,63,0,2.24,CA,1605415219
189,Naryan-Mar,67.67,53.09,31.08,99,100,13.09,RU,1605415405
190,Port Hedland,-20.31,118.58,96.8,30,0,18.34,AU,1605415152
191,Hithadhoo,-0.6,73.08,83.66,76,100,15.61,MV,1605415406
192,Beringovskiy,63.05,179.32,20.26,90,0,7.54,RU,1605415406
193,Coraki,-28.95,153.24,87.8,55,0,11.41,AU,1605415406
194,Ilulissat,69.22,-51.1,1.4,54,0,24.16,GL,1605415406
195,Coquimbo,-29.95,-71.34,53.6,87,2,2.24,CL,1605415406
196,Grand Baie,-20.02,57.58,79.0,65,21,8.99,MU,1605415406
197,Kaabong,3.51,34.14,67.55,73,3,13.6,UG,1605415407
198,Ampliación Colonia Lázaro Cárdenas,28.39,-105.62,59.0,35,5,4.7,MX,1605415407
199,Luanda,-8.83,13.24,75.2,94,40,2.24,AO,1605415407
200,Río Gallegos,-51.62,-69.22,51.8,50,40,19.46,AR,1605415407
201,Namatanai,-3.66,152.44,86.43,66,41,8.23,PG,1605415407
202,Severo-Kuril'sk,50.68,156.12,36.57,81,94,20.76,RU,1605415408
203,Choujiang,29.22,119.85,72.86,44,0,2.77,CN,1605415408
204,Namioka,40.71,140.59,60.01,54,75,12.75,JP,1605415401
205,Mnogovershinnyy,53.94,139.92,22.82,90,69,17.22,RU,1605415408
206,San Rafael del Sur,11.85,-86.44,80.6,78,20,6.93,NI,1605415408
207,Paamiut,61.99,-49.67,22.28,78,0,27.89,GL,1605415409
208,Ribeira Grande,38.52,-28.7,63.59,81,99,10.42,PT,1605415409
209,South Kalimantan,-2.54,115.51,93.58,49,41,3.38,ID,1605415409
210,Mount Gambier,-37.83,140.78,91.4,19,13,17.22,AU,1605415409
211,Pesca,5.56,-73.05,50.54,81,94,1.59,CO,1605415409
212,Mount Isa,-20.73,139.49,102.2,21,40,12.75,AU,1605415410
213,Larbont,42.87,1.37,52.0,27,22,3.0,FR,1605415410
214,Hobart,-42.88,147.33,60.01,87,75,3.36,AU,1605415244
215,Mountjoy,53.35,-6.26,50.0,93,75,3.36,IE,1605415300
216,New Salalah,17.01,54.1,75.2,47,0,3.36,OM,1605415410
217,Oskarsborg,68.38,17.6,44.6,75,37,20.8,NO,1605415410
218,Ust-Tsilma,65.44,52.15,24.82,97,90,4.72,RU,1605415411
219,Marawi,8.0,124.29,86.0,79,59,5.01,PH,1605415411
220,Nueva Loja,0.12,-76.97,71.67,91,89,1.5,EC,1605415411
221,Koronowo,53.31,17.94,46.99,100,99,2.24,PL,1605415411
222,Ekimchan,53.07,132.94,22.84,92,99,3.58,RU,1605415411
223,Carnarvon,-30.97,22.13,65.57,43,0,4.03,ZA,1605415412
224,Saint-Denis,48.94,2.36,57.2,82,0,16.11,FR,1605415412
225,Tabas,33.6,56.92,44.6,56,5,2.24,IR,1605415412
226,San Pedro,-33.68,-59.66,63.0,88,71,4.0,AR,1605415412
227,Aketi,2.74,23.78,70.36,94,97,1.61,CD,1605415412
228,Moses Lake,47.13,-119.28,42.8,81,90,16.11,US,1605415412
229,Província de Zambézia,-16.84,36.99,75.67,62,0,2.3,MZ,1605415413
230,Hamilton,43.26,-79.87,42.01,80,39,1.12,CA,1605415389
231,San Juan del Sur,11.25,-85.87,76.84,84,96,3.24,NI,1605415413
232,Katabu,-4.94,122.53,92.66,48,95,0.89,ID,1605415413
233,Banjar,-7.37,108.54,84.67,76,67,4.76,ID,1605415413
234,Provideniya,64.42,-173.23,17.19,85,52,4.07,RU,1605415414
235,Andradas,-22.07,-46.57,65.77,83,96,1.9,BR,1605415414
236,Magnano,45.46,8.01,46.99,86,53,3.0,IT,1605415414
237,Manzhouli,49.6,117.43,27.07,89,0,7.25,CN,1605415414
238,Lockhart,-35.22,146.72,98.6,12,0,14.99,AU,1605415414
239,Anadyr,64.73,177.51,8.6,78,0,6.71,RU,1605415415
240,Bandarbeyla,9.49,50.81,78.24,64,0,16.93,SO,1605415415
241,Buchach,49.06,25.39,45.0,83,93,3.13,UA,1605415415
242,Pasni,25.26,63.48,73.42,40,0,26.89,PK,1605415415
243,Tuktoyaktuk,69.44,-133.03,14.0,92,90,21.92,CA,1605415415
244,Okha,53.59,142.95,31.62,91,100,21.68,RU,1605415416
245,Puerto Escondido,15.86,-97.07,78.82,79,10,5.17,MX,1605415416
246,Ancud,-41.87,-73.83,42.01,86,0,4.7,CL,1605415416
247,Ādīs,8.96,38.73,58.35,50,3,2.51,ET,1605415416
248,Port Lincoln,-34.72,135.86,75.18,45,0,21.83,AU,1605415416
249,Leningradskiy,69.38,178.42,5.25,84,10,6.49,RU,1605415416
250,Kajaani,64.22,27.73,33.8,86,75,12.75,FI,1605415417
251,Murray Bridge,-35.12,139.28,98.01,23,92,3.0,AU,1605415417
252,Rocha,-34.48,-54.34,63.91,95,100,3.22,UY,1605415417
253,Tagusao,9.19,117.81,86.7,67,80,7.56,PH,1605415417
254,Cobija,-11.02,-68.77,74.77,84,68,1.9,BO,1605415417
255,Port-Gentil,-0.72,8.78,80.37,80,95,10.09,GA,1605415418
256,Te Anau,-45.41,167.72,60.37,76,100,4.47,NZ,1605415418
257,Kumul,42.84,93.51,49.17,45,47,9.46,CN,1605415418
258,Pahrump,36.21,-115.98,52.0,25,0,1.01,US,1605415130
259,Fort Frances,48.61,-93.4,32.0,98,1,4.81,CA,1605415418
260,Mthatha,-31.59,28.78,59.0,93,90,8.05,ZA,1605415419
261,Gora Sinyushina,52.21,104.21,28.4,79,20,2.24,RU,1605415419
262,Saint-Leu,-21.15,55.28,80.6,54,75,16.11,RE,1605415419
263,Gialo,29.03,21.55,56.57,74,0,5.66,LY,1605415419
264,Alice Springs,-23.7,133.88,102.2,16,15,16.11,AU,1605415419
265,Zaraza,9.35,-65.33,72.52,96,50,3.36,VE,1605415419
266,Dingle,11.0,122.67,85.44,77,42,12.91,PH,1605415420
267,Bodden Town,19.28,-81.25,82.0,84,76,14.0,KY,1605415420
268,Yoogali,-34.29,146.06,98.6,12,0,11.41,AU,1605415420
269,Coyhaique,-45.58,-72.07,48.2,57,0,5.82,CL,1605415244
270,São Félix do Xingu,-6.64,-51.99,71.6,93,76,0.16,BR,1605415420
271,Santa Rosa,-36.62,-64.29,54.25,69,0,7.07,AR,1605415421
272,Goderich,43.74,-81.71,39.2,64,78,16.11,CA,1605415421
273,Icaraí,-3.71,-38.6,81.0,83,75,16.11,BR,1605415421
274,Rabo de Peixe,37.8,-25.58,64.4,93,75,11.41,PT,1605415421
275,Soyo,-6.13,12.37,77.99,85,99,5.91,AO,1605415421
276,Cayenne,4.94,-52.33,75.2,100,72,9.42,GF,1605415422
277,Vila de Ala,41.42,-6.55,55.99,92,99,7.0,PT,1605415422
278,Saquisilí,-0.82,-78.63,51.8,76,75,8.05,EC,1605415422
279,Hasaki,35.73,140.83,68.0,48,20,9.17,JP,1605415422
280,Slave Lake,55.28,-114.77,14.0,92,75,4.7,CA,1605415422
281,Christchurch,-43.53,172.64,71.6,40,35,16.11,NZ,1605415423
282,Kibakwe,-6.71,36.37,72.0,66,82,4.18,TZ,1605415423
283,San Andres,13.32,122.68,85.8,72,39,11.03,PH,1605415423
284,Pangnirtung,66.15,-65.72,9.59,90,95,2.59,CA,1605415423
285,San Quintin,17.54,120.52,89.08,62,13,5.03,PH,1605415423
286,Mason,47.36,-123.1,42.01,100,90,8.05,US,1605415424
287,Dudinka,69.41,86.18,0.91,93,100,18.5,RU,1605415424
288,Florida,21.53,-78.23,71.6,94,89,6.93,CU,1605415424
289,Madikeri,12.42,75.74,86.0,66,20,9.17,IN,1605415424
290,Canaan,10.24,-61.45,77.0,94,53,1.01,TT,1605415424
291,Takoradze,4.89,-1.75,77.81,86,54,4.05,GH,1605415425
292,Lokomotivnyy,53.01,60.57,13.1,89,100,16.84,RU,1605415425
293,Khāsh,28.22,61.21,47.55,51,0,7.49,IR,1605415425
294,Mogok,22.92,96.51,78.44,50,0,2.28,MM,1605415425
295,Mikkeli,61.69,27.27,33.8,80,90,5.82,FI,1605415425
296,Jiuquan,39.73,98.49,49.95,44,0,5.75,CN,1605415426
297,Betafo,-19.84,46.86,69.37,62,18,3.87,MG,1605415426
298,Aitape,-3.15,142.36,85.28,74,78,7.74,PG,1605415426
299,Alofi,-19.06,-169.92,80.6,78,27,11.41,NU,1605415192
300,Yulara,-25.24,130.99,104.0,12,40,17.22,AU,1605415426
301,Kvarkeno,52.08,59.73,14.59,87,89,13.62,RU,1605415426
302,Salinópolis,-0.61,-47.36,80.44,82,75,9.98,BR,1605415427
303,Chunhuhub,19.59,-88.59,72.54,98,2,1.77,MX,1605415427
304,Dunedin,-45.87,170.5,66.0,56,100,12.28,NZ,1605415427
305,Kass Wollof,13.79,-15.05,73.44,21,0,6.4,GM,1605415427
306,Upernavik,72.79,-56.15,11.55,83,100,11.5,GL,1605415427
307,Ainaro,-8.93,125.41,82.22,41,45,4.56,TL,1605415428
308,Balkanabat,39.51,54.36,51.39,45,0,5.39,TM,1605415428
309,Syumsi,57.11,51.61,12.87,91,28,1.77,RU,1605415299
310,Loukhi,66.08,33.04,31.87,96,91,10.04,RU,1605415428
311,Baruun-Urt,46.68,113.28,34.38,76,60,5.59,MN,1605415428
312,Miraflores,5.2,-73.14,63.3,75,90,3.51,CO,1605415429
313,Gunjur,13.18,-16.76,69.8,100,0,9.73,GM,1605415429
314,Wajima,37.4,136.9,64.4,52,0,9.17,JP,1605415429
315,Buala,-8.15,159.59,85.66,69,88,8.16,SB,1605415429
316,Rajada,-6.44,-36.64,73.18,80,3,14.34,BR,1605415429
317,Cascades Region,10.64,-4.75,72.09,26,0,6.62,BF,1605415429
318,Mandera,3.94,41.86,81.46,62,0,7.56,KE,1605415430
319,Tshikapa,-6.42,20.79,68.07,93,82,0.63,CD,1605415430
320,Juneau,58.3,-134.42,35.6,93,90,6.93,US,1605415430
321,Sidney,47.72,-104.16,30.2,80,90,18.34,US,1605415430
322,Edd,13.93,41.69,82.38,55,40,2.53,ER,1605415430
323,Cockburn Town,21.46,-71.14,80.55,75,92,16.35,TC,1605415431
324,Shimokizukuri,40.81,140.39,60.01,54,75,12.75,JP,1605415431
325,Vung Tau,10.35,107.08,81.82,74,97,6.51,VN,1605415431
326,Ballinure,51.89,-8.4,45.0,87,75,17.22,IE,1605415431
327,Biltine,14.53,20.93,68.72,29,0,14.07,TD,1605415431
328,Ishigaki,24.34,124.16,80.6,78,75,14.99,JP,1605415432
329,Morant Bay,17.88,-76.41,82.4,69,20,18.34,JM,1605415432
330,Raduzhny,62.1,77.47,-2.11,90,1,4.47,RU,1605415432
331,San Patricio,-26.98,-56.83,67.68,93,100,9.91,PY,1605415432
332,Hulan Ergi,47.2,123.63,40.08,63,51,14.23,CN,1605415432
333,Thayetmyo,19.32,95.18,84.33,61,0,8.68,MM,1605415432
334,Acapulco de Juárez,16.86,-99.88,78.57,80,2,2.73,MX,1605415433
335,Port Shepstone,-30.74,30.45,69.85,74,54,6.02,ZA,1605415433
336,Tautira,-17.73,-149.15,80.6,78,20,6.93,PF,1605415433
337,Arequipa,-16.38,-71.56,51.42,52,0,0.54,PE,1605415433
338,Raymond,43.04,-71.18,32.0,66,0,3.85,US,1605415433
339,Road Town,18.42,-64.62,79.0,86,0,13.0,VG,1605414597
340,Yar-Sale,66.83,70.83,4.87,92,99,12.24,RU,1605415434
341,Iwanai,42.97,140.51,49.12,72,100,11.61,JP,1605415413
342,Eséka,3.65,10.77,72.03,95,76,1.39,CM,1605415434
343,Chiredzi,-21.05,31.67,72.75,56,2,4.18,ZW,1605415434
344,Tigil',57.8,158.67,34.09,95,100,9.48,RU,1605415435
345,Gibson,33.19,-82.53,55.99,82,1,3.36,US,1605415355
346,Muzhi,65.4,64.7,7.38,89,83,7.67,RU,1605415435
347,Promyshlennyy,67.55,63.78,8.13,96,99,10.65,RU,1605415435
348,Chapais,49.78,-74.86,21.2,79,40,4.7,CA,1605415435
349,Luwuk,-0.91,122.88,84.96,69,90,2.39,ID,1605415435
350,Darhan,49.49,105.92,31.08,88,100,2.59,MN,1605415436
351,Daru,7.99,-10.85,66.06,79,0,1.41,SL,1605415436
352,Onokhoy,51.92,108.05,19.4,73,67,1.43,RU,1605415436
353,Leh,34.16,77.58,35.31,58,35,8.99,IN,1605415436
354,Banda Aceh,5.56,95.32,84.49,69,76,1.72,ID,1605415392
355,Alyangula,-13.85,136.42,93.2,49,75,8.05,AU,1605415437
356,Sørland,67.67,12.69,46.09,91,100,25.08,NO,1605415437
357,Fort Nelson,58.81,-122.69,10.4,92,90,1.57,CA,1605415437
358,Serut,-8.09,111.9,84.61,73,76,8.48,ID,1605415437
359,Datong,40.09,113.3,54.34,41,55,0.94,CN,1605415437
360,Vila Franca do Campo,37.72,-25.43,64.4,93,75,11.41,PT,1605415438
361,Akureyri,65.68,-18.09,32.0,94,90,4.7,IS,1605415438
362,Ulladulla,-35.36,150.48,86.0,51,0,12.75,AU,1605415438
363,Ust'-Barguzin,53.41,109.03,27.66,89,21,3.49,RU,1605415438
364,Pampierstad,-27.78,24.69,76.8,31,20,11.52,ZA,1605415438
365,Zyryanovsk,49.74,84.27,27.68,81,100,2.17,KZ,1605415438
366,Cooma,-36.24,149.13,80.6,32,19,12.75,AU,1605415439
367,Sfântu Gheorghe,44.65,26.83,46.0,100,20,3.36,RO,1605415439
368,Carballo,43.21,-8.69,64.0,80,96,8.01,ES,1605415439
369,Kōchi,34.7,138.93,68.0,49,20,9.17,JP,1605415439
370,Novonukutskiy,53.7,102.71,22.91,91,64,2.59,RU,1605415440
371,Reguengos de Monsaraz,38.42,-7.53,62.6,93,75,11.41,PT,1605415440
372,Ocean City,30.44,-86.61,73.4,83,40,4.7,US,1605415440
